id_projeto,id_receita,ds_tipo_arrecadacao,ds_receita,vl_unitario,nr_quantidade,vl_receita,fl_fonte_recurso,tp_recurso,nm_instituicao,fl_orgao_publico
2949,542,,"Recurso FAPERGS - EDITAL FAPERGS 02/2018 - AUXÍLIO PARA ORGANIZAÇÃO DE EVENTOS - AOE",13494.60,1.00,13494.60,T,E,"Fundação de Amparo a Pesquisa do Estado do Rio Grande do Sul",S
2970,549,,"Recurso destinado à capital e custeio referente ao Edital Universal do CNPq de 2014.",28000.00,1.00,28000.00,T,E,"Conselho Nacional de Desenvolvimento Científico e Tecnológico",S
14085,3606,,insumos,50000.00,1.00,50000.00,T,E,"Fundação de Amparo a Pesquisa do Estado do Rio Grande do Sul",S
12594,3019,,"Bolsa de produtividade em pesquisa",33000.00,1.00,33000.00,T,E,"Conselho Nacional de Desenvolvimento Científico e Tecnológico",S
12603,3020,,"Bolsa mensal",400.00,1.00,400.00,C,,,
15480,4078,,Custeio,158080.00,1.00,158080.00,T,E,"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior",S
12916,3134,,"Contrapartida Não Financeira iTEC",264180.00,1.00,264180.00,C,,,
602,83,Inscrição,"Inscrição ouvintes",30.00,250.00,7500.00,A,,,
602,84,Inscrição,"Inscrição trabalhos",50.00,50.00,2500.00,A,,,
12916,3135,,"Programa Sebrae Embrapii Startup MPE",300000.00,1.00,300000.00,T,E,"Serviço de Apoio às Micro e Pequenas Empresas do Estado do Rio Grande do Sul",S
649,88,,"Recurso para aquisição de capital e material de consumo",17000.00,1.00,17000.00,T,E,"Fundação de Amparo a Pesquisa do Estado do Rio Grande do Sul",S
866,124,,"Recurso a ser pago para desenvolvimento de prestação de serviço",266623.85,1.00,266623.85,T,E,"Fundação de Apoio à Universidade do Rio Grande",S
12916,3136,,"Recurso Financeiro da Empresa Medlife",381520.00,1.00,381520.00,T,E,MEDLIFE,N
1304,182,Inscrição,"Inscrição do curso",35.00,200.00,7000.00,A,,,
1326,191,Inscrição,"Inscrição aproximada",20.00,60.00,1200.00,A,,,
1348,200,,"Envio de materiais de consumo a serem utilizados no desenvolvimento do projeto, tais como chapas e barras metálicas e poliméricas, material de preparação metalográfica, filamentos para o MEV do Ceme-Sul, reagentes químicos.",0.00,1.00,0.00,T,N,"Universidade Federal de Uberlândia",S
1348,201,,"Pagamento de bolsistas envolvidos no projeto",244800.00,1.00,244800.00,T,E,"Universidade Federal de Uberlândia",S
1353,204,,"Investimento para o pagamento de bolsa dos pesquisadores.",193536.00,1.00,193536.00,T,E,"Vetorial Informática e Serviços de  Internet",N
1381,209,Inscrição,"Verba Total do Projeto",29944.00,1.00,29944.00,A,,,
12916,3137,,"Recurso Financeiro Embrapii",512300.00,1.00,512300.00,T,E,"Empresa Brasileira de Pesquisa e Inovação Industrial",S
1612,263,,"bolsa e taxa de bancada",105600.00,1.00,105600.00,T,E,"Conselho Nacional de Desenvolvimento Científico e Tecnológico",S
12916,3138,,"Recurso Financeiro Empresa Smart Group",96000.00,1.00,96000.00,T,E,"SMART GROUP",N
1637,267,,"Montante Total",94090.92,1.00,94090.92,T,E,"Vetorial Informática e Serviços de  Internet",N
1655,268,,"Capital, Custeio e Bolsas",1498655.94,1.00,1498655.94,T,E,"Conselho Nacional de Desenvolvimento Científico e Tecnológico",S
1657,269,,"Serão disponibilizados 11000,00 dólares para compra de material de consumo e 1000,00 dólares para compra de equipamento",12000.00,1.00,12000.00,T,E,"International Foundation for Science",N
1661,270,,"Recurso aprovado no edital Universal - CNPq - 2014",59877.00,1.00,59877.00,T,E,"Conselho Nacional de Desenvolvimento Científico e Tecnológico",S
1663,271,,"EDITAL CAPES N° 31/ 2013",80000.00,1.00,80000.00,T,E,"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior",S
1667,272,,"Material de consumo",100000.00,1.00,100000.00,T,E,"Conselho Nacional de Desenvolvimento Científico e Tecnológico",S
1821,282,,"infraestrutura basica do laboratorio",250000.00,1.00,250000.00,I,,,
2978,557,,"Concessão de apoio financeiro a projeto de pesquisa previsto no termo de outorga nº 18/2551-0000528-2 referente ao edital FAPERGS/CAPES 04/2018 - PROGRAMA DE BOLSAS DE FIXAÇÃO DE DOUTORES - DOCFIX, sob coordenação do Prof. Gilberto Fillmann",41356.00,1.00,41356.00,T,E,"Fundação de Amparo a Pesquisa do Estado do Rio Grande do Sul",S
2077,321,,"em reais",16498.50,1.00,16498.50,T,E,"Fundação de Amparo a Pesquisa do Estado do Rio Grande do Sul",S
2997,563,,"Recurso repassado via TED",286000.00,1.00,286000.00,T,E,"Ministério do Meio Ambiente",S
2188,355,,"Material de consumo",60000.00,1.00,60000.00,T,E,"Conselho Nacional de Desenvolvimento Científico e Tecnológico",S
2201,356,,"Recurso fornecido pela FAPERGS referente ao auxílio recém doutor",17000.00,1.00,17000.00,T,E,"Fundação de Amparo a Pesquisa do Estado do Rio Grande do Sul",S
2395,382,,"verba para o cumprimeto da Proposta via PROEXC",10000.00,1.00,10000.00,I,,,
2409,385,,"edital PROEXC 01 2018",5000.00,1.00,5000.00,I,,,
2990,559,"Prestação de Serviço",Consultoria,1000.00,4.00,4000.00,A,,,
12603,3021,,"O valor da bolsa é de R$ 400,00 (quatrocentos reais) mensais com a cargahorária de 12 (doze) horas semanais. A vigência da bolsa estará vinculada à duraçãodo calendário acadêmico emergencial da FURG. Informação que consta no EDITAL PROGRAD Nº 04 / 2020",400.00,1.00,400.00,T,E,"Universidade Federal do Rio Grande",S
2439,398,,"Apoio Financeiro",2000.00,1.00,2000.00,I,,,
2442,400,Inscrição,"Taxa para cobrir custos com materiais do curso, coffee-break e outras despesas",25.00,40.00,1000.00,A,,,
2443,401,,"3390-36  Contratação de pessoa física; Contratação de ilustrador para a criação visual do livro.",6500.00,1.00,6500.00,I,,,
2443,402,,"Contratação de pessoa jurídica (3390-39): Para a filmagem profissional e edição da língua de sinais",2500.00,1.00,2500.00,I,,,
2443,403,,"Material de consumo 3390-30",1000.00,1.00,1000.00,I,,,
2468,405,,"Orçamento Unidade ILA",822.78,1.00,822.78,I,,,
2630,439,,"Edital 01/2018",30000.00,1.00,30000.00,T,E,"Fundação SOS Mata Atlântica",N
2632,440,,"Disponibilização da infraestrutura da torre de metal e dos seguintes sensores:1 Radiômetro Líquido CNR4-L34 (PAR) Kipp/Zonen1 Anemômetro sônico 3D - CSAT3 / Campbell Scientific1 Anemômetro de Hélice RM Young 05103-45-51 Piranômetro CMP3-L12 Kippe Zonen1 Analisador de gás infravermelho LI-7200 / LICOR  1 IRGA / Campbell Scientific1 Barômetro - CS106 - Vaisala1 Termo-higrômetro - CS215-L34/ Campbell ScientificBaterias",0.00,1.00,0.00,T,N,"Instituto Nacional de Pesquisas Espaciais",S
2632,441,,"Diárias para vinda e estadia do Dr. Ronald Buss",6000.00,1.00,6000.00,T,E,"Instituto Nacional de Pesquisas Espaciais",S
2632,442,,"Pagamento Serviço de Terceiros",1400.00,1.00,1400.00,I,,,
2644,443,,"Aporte Financeiro",294033.00,1.00,294033.00,T,E,"Companhia Riograndense de Saneamento",S
2774,472,Inscrição,"Seminário Interfaces Pedagógicas",25.00,312.00,7800.00,A,,,
2887,511,,"SIGA/Gabinete da reitora",2350.00,1.00,2350.00,I,,,
2992,561,,"Programa de Excelência Acadêmica (PROEX)- PPGOB",5000.00,1.00,5000.00,I,,,
3104,594,,"Montante pago para realização da totalidade do projeto",318931.20,1.00,318931.20,T,E,"CODEX REMOTE CIÊNCIAS ESPACIAIS E IMAGENS DIGITAIS LTDA",N
3123,599,"Prestação de Serviço","Consultoria Em Engenharia Quimica",1.00,1.00,1.00,A,,,
12648,3027,,"Recurso aprovado no edital FAPERGS Edital 05/2019 Programa Pesquisador Gaúcho - PqG",30000.00,1.00,30000.00,T,E,"Fundação de Amparo a Pesquisa do Estado do Rio Grande do Sul",S
12949,3145,,"Capital R$ 15.000 ,00Consumo R$ 6.000,00Bolsa R$ 14.400,00",35400.00,1.00,35400.00,T,E,"Conselho Nacional de Desenvolvimento Científico e Tecnológico",S
12981,3169,,"Recursos da FURG",7600356.67,1.00,7600356.67,I,,,
13012,3187,,"ref. TED (D.O.U nº 244, de 20.12.2018, seção 3, pag. 23) COMANDO DO PESSOAL DE FUZILEIROS NAVAISCENTRO DE INSTRUÇÃO ALMIRANTE SYLVIO DE CAMARGOEXTRATO DE CONTRATON. Termo de Execução Descentralizada. Termo de Contrato n 32100/2018-03/00. UnidadeGestora Repassadora: CENTRO DE INSTRUÇÃO ALMIRANTE SYLVIO DE CAMARGO. UnidadeGestora Recebedora: UNIVERSIDADE FEDERAL DO RIO GRANDE. CNPJ n 94.877.586/0001-10. Objeto: realização de atividades referente a curso de Especialização em Gestão deOperação e Logística.",240000.06,1.00,240000.06,T,E,"CENTRO DE INSTRUÇÃO ALMIRANTE SYLVIO DE CAMARGO",S
13012,3188,,TED,240000.06,1.00,240000.06,T,E,"CENTRO DE INSTRUÇÃO ALMIRANTE SYLVIO DE CAMARGO",S
